School,ChildrenU14
Ahipara School,176
Aranga School,11
Arapohue School,32
Awanui School,41
Bay Of Islands International Academy,61
Blomfield Special School & Resource Ctre,42
Bream Bay College,110
Broadwood Area School,32
Christian Renewal School,71
Dargaville Intermediate,91
Dargaville Primary School,375
Excellere College (Kamo Christian College),92
Frontline (formerly Kerikeri Christian Sch.),8
Glenbervie School,189
Herekino School,24
Hikurangi School,195
Home School,220
Hora Hora School (Te Mai),365
Horeke School,25
Huanui College,15
Hukerenui School Years 1-8,111
Hurupaki School,267
Kaeo School,110
Kaihu Valley School,14
Kaikohe Christian School,84
Kaikohe East School,251
Kaikohe Intermediate,43
Kaikohe West School,175
Kaingaroa School (Kaitaia),115
Kaitaia Abundant Life School,116
Kaitaia Intermediate,85
Kaitaia School,419
Kaiwaka School,118
Kamo Intermediate,346
Kamo School,388
Karetu School,57
Kaurihohore School,159
Kawakawa Primary School,97
Kerikeri High School,94
Kerikeri Primary School,513
Kohukohu School,37
Kokopu School,65
Manaia View School,146
Mangakahia Area School,44
Mangamuka School,13
Mangawhai Beach School,353
Mangonui School,150
Maromaku School,28
Matakohe School,44
Matarau School,211
Matauri Bay School,53
Matihetihe School,24
Maungakaramea School,31
Maungatapere School,256
Maungaturoto School,193
Maunu School,282
Moerewa School,71
Morningside School,246
Motatau School,32
Ngataki School,33
Ngunguru School,211
Not Known,10240
Ohaeawai School,145
Okaihau College,107
Okaihau School,99
Omanaia School,22
One Tree Point School,210
Onerahi School,418
Opononi Area School,57
Opua School,50
Oromahoe School,76
Oruaiti School,76
Otaika Valley School,133
Otamatea Christian School,16
Otamatea High School,131
Oturu School,92
Paihia School,117
Pakaraka School,32
Pakotai School,5
Pamapuria School,108
Paparoa School,49
Paparore School,149
Parua Bay School,232
Peria School,36
Pompallier Catholic College (Whangarei),75
Pompallier School (Kaitaia),122
Poroti School,12
Portland School,25
Pouto School,13
Pukenui School (Kaitaia),56
Pukepoto School,38
Purua School,15
Raurimu Avenue School,66
Rawene School,57
Riverview School,336
Ruakaka School,206
Ruawai College,39
Ruawai School,106
Russell School (Bay Of Islands),65
Selwyn Park School,130
Springbank School,75
St Francis Xavier School (Whangare,388
St Joseph's School (Dargaville),81
Taipa Area School,118
Tangiteroria School,29
Tangowahine School,24
Tauraroa Area School,189
Tautoro School,73
Te Hapua School,36
Te Horo School (Whangarei),26
Te Kao School,38
Te Kapehu Whetu - Teina,64
Te Kopuru School,92
Te Kura O Hata Maria (Pawarenga),22
Te Kura O Hato Hohepa Te Kamura,16
Te Kura O Otangarei,81
Te Kura o Waikare,35
Te Kura Taumata O Panguru,30
Te Rangi Aniwaniwa,97
Tikipunga High School,46
Tikipunga Primary School,176
Tinopai School,22
TKKM o Kaikohe,130
TKKM o Pukemiro,81
TKKM o Rangiawhia,12
TKKM o Taumarere,68
TKKM o Te Rawhiti Roa,116
TKKM o Te Tonga o Hokianga,30
TKKM o Whangaroa,23
Totara Grove School,269
Totara North School,21
Umawera School,26
Waiharara School,16
Waima School,20
Waiotira School,20
Waipa School,215
Westmount School Kaipara Campus,68
Westmount School Northland Campus,26
Whananaki School,54
Whangarei Adventist Christian School,14
Whangarei Heads School,108
Whangarei Intermediate,342
Whangarei School,504
Whangaruru School,29
Whau Valley School,240
